,Id,Brightness,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity,isDog
0,04401eb40ba1e016aaecb5e0958ff1ab,171.0918759049614,0,1,1,0,0,0,0,1,0,0,0,0,35,0
1,3345633591287ee7c6f6f46d7c2e1a2e,176.20736688829447,0,1,1,1,0,0,1,0,0,0,0,0,27,0
2,cfac085036f560dacc6e7af69ecedba8,156.74476297678385,0,1,1,1,0,0,0,0,0,0,0,0,17,1
3,06453783081e3e7db3b8ddd73ff78d58,134.84155739593552,0,1,1,1,0,0,0,0,1,0,0,0,32,1
4,c780797f5ffbe2464ded97aeefc6db03,159.78255277821182,0,1,1,1,0,0,0,0,0,0,0,0,25,0
5,cf49bd2b6eb803d57d4c1d408899083d,144.10447911911632,0,1,1,1,0,0,0,0,0,0,0,0,37,1
6,cca6f558ef342ba6f1c3a8ec36aa77f4,99.10685379102942,0,1,1,1,0,0,0,0,0,0,0,0,44,0
7,108519f539e734434cd6819c46f297ff,154.4446837132689,0,1,1,1,0,0,0,0,0,0,0,0,84,1
8,9beaff8dd8b17dcb7638f689a638a2d1,151.24202164292177,0,1,1,1,0,0,0,0,0,1,1,0,34,0
9,a5ff4923e393fa08e67da31c7eb4edd5,215.86853251158408,0,1,1,1,0,0,0,0,0,0,0,0,36,0
10,46a9243003c2603d4e406f879ebe77c8,130.07006491326436,0,1,1,1,0,0,0,0,0,0,0,0,19,1
11,39a3b3e56259e11daf4acbb932fac0c2,180.22505654446184,0,1,1,0,0,0,0,1,0,0,1,0,8,1
12,cb3c6cd061a57a3ea68920ce8e41d9d1,115.7704209666262,0,1,1,1,0,0,0,0,0,0,0,0,43,1
13,49938a3aa1a2cd5b723536b76c4728f9,121.60790028362302,0,0,0,1,0,0,0,0,1,1,0,0,41,1
14,2e93c29af0eeb78ce80116ddeac23104,149.49228627420206,0,0,1,1,0,0,0,0,0,0,0,0,46,1
15,a8bb509cd1bd09b27ff5343e3f36bf9e,190.55393032788632,0,1,1,1,0,0,0,0,0,0,0,0,39,1
16,a9c6947d21472ff972e650858b701e1c,138.29170242595433,0,1,1,0,0,0,1,1,0,0,0,0,55,1
17,2e9f7d97a5d8fa11e9db23e112fc6f72,179.31822160593123,0,1,1,1,0,0,0,0,0,0,0,0,42,1
18,a7268260676b42016f7ebc49a732f888,137.05777713631377,0,0,0,1,0,0,0,0,0,0,0,0,44,0
19,a6b6b146f24e9dd1e7e5509afefe45eb,125.66752269897063,0,1,1,1,0,0,0,0,0,0,0,0,51,1
20,34e367fd41f4c0e3e5a6269368c8e4bd,175.66150677499994,0,1,1,1,0,0,0,0,0,0,0,0,56,0
21,a4515baf8ddd26bd2a51b399730c778a,112.61292009076406,0,0,0,0,0,0,1,0,0,1,0,0,31,1
22,2b99a65f4a2482ead6cfdf90fb1642ee,126.61613976852883,0,1,1,1,0,0,0,0,0,0,0,0,47,1
23,a5cc63c96f91124ac1a34b7d5351f586,138.02841673873397,0,1,1,1,0,0,0,0,0,0,0,0,24,1
24,63957f8cb8994784b95e9df9e8f33f95,160.97208152884818,0,0,0,1,0,0,0,0,0,0,0,0,28,0
25,79f25d37998332323ba28f1ab31e90dc,163.12306418202027,0,0,1,1,0,0,0,0,0,0,0,0,49,0
